Ergebnisart;Datum;Uhrzeit;Soll Wahlbezirke;Ist Wahlbezirke;Satzart;Schlüsselnummer;Name;A - Wahlberechtigte;B - Wähler;E - Ungültige Zweitstimmen;F - Gültige Zweitstimmen;F01 - DIE LINKE;F02 - CDU;F03 - SPD;F04 - FDP;F05 - GRÜNE;F06 - PIRATEN;F07 - NPD;F08 - MLPD;F09 - AfD;F10 - pro Deutschland;F11 - FREIE WÄHLER;F12 - ÖDP;C - Ungültige Erststimmen;D - Gültige Erststimmen;D01 - DIE LINKE;D02 - CDU;D03 - SPD;D04 - FDP;D05 - GRÜNE;D06 - PIRATEN;D07 - NPD;D08 - MLPD;D09 - AfD;D11 - FREIE WÄHLER;D13 - Tierschutzpartei;D14 - Einzelbewerber;
V;22.09.2013;20:59;11;11;GEM;15085235;Stadt Quedlinburg;17414;8257;149;8108;1888;3310;1509;220;375;202;150;8;337;28;60;21;158;8099;1874;3526;1554;169;377;226;175;;;65;133;;
V;22.09.2013;19:19;1;1;GEM;15085255;Gemeinde Rieder;1533;874;32;842;249;364;108;13;22;23;29;1;21;4;7;1;29;845;260;358;116;10;19;23;33;;;11;15;;
V;22.09.2013;19:29;2;2;GEM;15085285;Stadt Schwanebeck;2132;995;14;981;237;426;165;25;26;7;41;1;42;2;6;3;19;976;226;466;169;11;22;13;54;;;9;6;;
V;22.09.2013;20:19;3;3;GEM;15085287;Gemeinde Selke-Aue;1252;753;22;731;175;325;142;14;15;15;21;0;17;3;4;0;21;732;164;337;151;11;12;22;19;;;7;9;;
V;22.09.2013;21:09;14;14;GEM;15085330;Stadt Thale;16156;8063;180;7883;1798;3426;1441;188;256;149;174;10;338;36;57;10;209;7854;1763;3583;1487;206;238;167;236;;;67;107;;
V;22.09.2013;20:59;4;4;GEM;15085365;Stadt Wegeleben;2345;1152;30;1122;259;499;197;17;41;32;16;1;41;8;6;5;29;1123;243;539;218;12;34;31;22;;;8;16;;
V;22.09.2013;20:49;20;20;GEM;15085370;Stadt Wernigerode;29042;15058;246;14812;2928;6711;2898;324;649;295;289;15;566;38;79;20;264;14794;2864;7099;2843;135;902;327;368;;;101;155;;
V;22.09.2013;21:30;6;6;GEM;15086005;Gemeinde Biederitz;7152;4321;71;4250;915;1793;870;126;153;67;53;4;175;19;68;7;82;4239;945;1870;983;80;141;111;;;;100;;9;
V;22.09.2013;20:39;14;14;GEM;15086015;Stadt Burg;20077;9830;195;9635;2452;3886;1890;219;261;206;167;12;386;30;114;12;232;9598;2394;4014;2284;154;198;312;;;;208;;34;
V;22.09.2013;20:49;8;8;GEM;15086035;Gemeinde Elbe-Parey;5996;3305;80;3225;779;1338;609;82;80;70;91;4;100;7;64;1;100;3205;730;1331;735;58;59;94;;;;194;;4;
V;22.09.2013;22:35;15;15;GEM;15086040;Stadt Genthin;12916;6459;114;6345;1561;2552;1310;132;186;118;119;7;267;13;70;10;141;6318;1555;2652;1508;93;155;190;;;;148;;17;
V;22.09.2013;21:30;14;14;GEM;15086055;Stadt Gommern;9296;5424;110;5314;1087;2349;1079;132;171;84;115;6;194;17;75;5;121;5303;1123;2454;1223;94;132;134;;;;124;;19;
V;22.09.2013;22:35;12;12;GEM;15086080;Stadt Jerichow;6097;3613;83;3530;806;1531;617;97;106;87;125;1;102;12;43;3;97;3516;805;1602;730;70;81;138;;;;85;;5;
V;22.09.2013;20:30;29;29;GEM;15086140;Stadt Möckern;11487;6573;124;6449;1462;2843;1186;168;164;128;124;6;230;24;100;14;132;6441;1471;2940;1378;128;138;219;;;;150;;17;
V;22.09.2013;21:00;6;6;GEM;15086145;Gemeinde Möser;6830;4161;63;4098;849;1893;733;133;115;53;50;3;213;9;35;12;80;4081;821;1951;920;71;109;108;;;;86;;15;
V;22.09.2013;19:33;2;2;GEM;15087010;Gemeinde Ahlsdorf;1425;745;12;733;222;279;152;9;12;10;17;0;21;3;6;2;12;733;234;297;153;4;9;12;14;;;7;;3;
V;22.09.2013;20:25;16;16;GEM;15087015;Stadt Allstedt;7012;4098;74;4024;1077;1592;687;122;96;71;131;5;155;18;62;8;95;4003;1230;1569;658;94;83;91;144;;;74;;60;
V;22.09.2013;20:25;12;12;GEM;15087031;Stadt Arnstein;6213;3497;55;3442;855;1543;541;93;83;57;116;6;107;13;28;0;61;3436;887;1601;570;46;58;60;147;;;36;;31;
V;22.09.2013;20:25;1;1;GEM;15087045;Gemeinde Benndorf;1863;946;24;922;278;339;181;19;17;21;19;0;33;6;8;1;26;920;308;346;178;12;17;17;27;;;11;;4;
V;22.09.2013;19:33;4;4;GEM;15087055;Gemeinde Berga;1477;826;10;816;146;354;176;18;20;18;48;0;27;5;3;1;12;814;176;338;195;15;15;23;39;;;8;;5;
V;22.09.2013;20:25;1;1;GEM;15087070;Gemeinde Blankenheim;1084;646;7;639;143;255;112;30;30;8;15;0;35;5;5;1;10;636;177;258;110;19;16;16;25;;;12;;3;
V;22.09.2013;21:24;1;1;GEM;15087075;Gemeinde Bornstedt;722;423;8;415;109;144;71;8;14;8;20;1;26;5;7;2;8;415;112;154;73;5;7;18;25;;;13;;8;
V;22.09.2013;20:25;2;2;GEM;15087101;Gemeinde Brücken-Hackpfüffel;917;544;9;535;137;215;89;13;11;10;25;0;21;2;12;0;11;533;172;201;85;11;7;10;32;;;12;;3;
V;22.09.2013;20:25;1;1;GEM;15087125;Gemeinde Edersleben;899;556;14;542;138;262;60;9;22;5;25;1;15;1;3;1;13;543;171;240;64;6;17;16;21;;;7;;1;
V;22.09.2013;21:24;20;20;GEM;15087130;Lutherstadt Eisleben;21004;9806;200;9606;2628;3734;1695;238;215;166;251;16;511;42;97;13;204;9602;2806;3888;1786;117;193;238;329;;;161;;84;
V;22.09.2013;20:25;15;15;GEM;15087165;Stadt Gerbstedt;6678;3492;65;3427;843;1505;585;70;93;63;92;3;120;12;38;3;73;3419;854;1565;615;37;79;78;123;;;53;;15;
V;22.09.2013;21:14;2;2;GEM;15087205;Gemeinde Helbra;3659;1782;31;1751;508;653;327;37;34;32;45;0;85;4;24;2;36;1746;538;706;323;14;25;40;56;;;37;;7;
V;22.09.2013;20:25;2;2;GEM;15087210;Gemeinde Hergisdorf;1460;730;10;720;213;291;136;6;15;7;16;0;21;6;8;1;17;713;222;290;130;9;20;12;15;;;14;;1;
V;22.09.2013;20:25;15;15;GEM;15087220;Stadt Hettstedt;12949;6375;121;6254;1881;2365;1192;106;97;105;160;6;265;19;52;6;117;6258;1982;2368;1248;58;94;152;202;;;85;;69;
V;22.09.2013;20:25;5;5;GEM;15087250;Stadt Kelbra (Kyffhäuser);3118;1638;31;1607;374;657;322;57;31;28;59;5;50;2;21;1;37;1601;444;582;337;66;29;44;60;;;25;;14;
V;22.09.2013;20:25;2;2;GEM;15087260;Gemeinde Klostermansfeld;2174;1209;13;1196;306;527;192;25;21;22;36;3;48;1;13;2;13;1196;329;527;199;18;24;29;50;;;10;;10;
V;22.09.2013;21:14;17;17;GEM;15087275;Stadt Mansfeld;8260;4533;93;4440;1137;1912;789;94;89;71;120;12;155;14;43;4;95;4438;1204;1964;806;72;78;85;137;;;37;;55;
V;22.09.2013;20:25;29;29;GEM;15087370;Stadt Sangerhausen;24405;12513;251;12262;3484;4689;2055;312;349;201;390;20;574;53;120;15;276;12237;4066;4439;2074;297;307;295;465;;;201;;93;
V;22.09.2013;21:05;13;13;GEM;15087386;Gemeinde Seegebiet Mansfelder Land;8105;4614;87;4527;1272;1852;729;95;97;92;115;10;202;16;43;4;95;4519;1291;1965;765;51;81;111;167;;;65;;23;
V;22.09.2013;20:25;16;16;GEM;15087412;Gemeinde Südharz;8642;4980;99;4881;1285;1939;837;153;163;73;171;6;181;24;44;5;127;4853;1485;1694;867;208;162;120;211;;;82;;24;
V;22.09.2013;19:33;4;4;GEM;15087440;Gemeinde Wallhausen;2259;1228;23;1205;276;525;206;31;43;25;39;1;41;5;11;2;27;1201;329;475;221;33;37;29;49;;;20;;8;
V;22.09.2013;20:25;1;1;GEM;15087470;Gemeinde Wimmelburg;1094;560;9;551;178;201;106;7;7;11;14;0;23;1;3;0;8;552;197;199;111;6;6;11;16;;;4;;2;
V;22.09.2013;21:06;10;10;GEM;15088020;Stadt Bad Dürrenberg;10278;4986;78;4908;1187;2119;806;141;117;83;132;0;232;20;66;5;84;4902;1320;2253;785;91;101;95;164;;;85;;8;
V;22.09.2013;20:25;7;7;GEM;15088025;Goethestadt Bad Lauchstädt;7745;4101;76;4025;812;1847;703;132;115;61;122;2;147;10;66;8;79;4022;849;1954;758;59;85;91;136;;;78;;12;
V;22.09.2013;19:33;1;1;GEM;15088030;Gemeinde Barnstädt;905;535;4;531;122;245;94;20;12;4;10;0;16;0;7;1;7;528;134;248;94;15;10;6;10;;;10;;1;
V;22.09.2013;21:25;10;10;GEM;15088065;Stadt Braunsbedra;9589;4637;65;4572;1174;1969;738;118;96;80;111;7;201;8;64;6;76;4561;1296;2029;760;75;77;96;136;;;85;;7;
V;22.09.2013;19:33;2;2;GEM;15088100;Gemeinde Farnstädt;1345;761;11;750;193;338;117;24;15;11;16;3;22;1;9;1;13;748;199;354;123;12;12;14;19;;;14;;1;
V;22.09.2013;22:04;7;7;GEM;15088150;Gemeinde Kabelsketal;7356;4753;63;4690;1031;2084;705;195;140;87;110;9;251;18;57;3;72;4681;1058;2128;772;123;88;62;108;13;205;67;;57;
V;22.09.2013;22:04;26;26;GEM;15088195;Stadt Landsberg;12966;8740;167;8573;1786;4023;1245;326;292;139;194;17;393;37;105;16;173;8567;1906;4013;1341;213;189;133;181;25;365;104;;97;
V;22.09.2013;21:06;11;11;GEM;15088205;Stadt Leuna;11926;6187;105;6082;1367;2693;975;173;169;125;193;11;282;23;62;9;119;6068;1450;2872;1014;85;154;153;218;;;112;;10;
V;22.09.2013;21:45;18;18;GEM;15088216;Stadt Wettin-Löbejün;8742;4906;98;4808;1105;2162;737;185;156;78;112;10;202;13;46;2;112;4794;1140;2227;848;112;130;119;131;;;63;;24;
V;22.09.2013;21:05;21;21;GEM;15088220;Stadt Merseburg;28708;14348;258;14090;3508;5700;2489;413;433;272;416;24;619;59;142;15;259;14089;3627;5931;2766;228;348;364;511;;;281;;33;
V;22.09.2013;22:01;13;13;GEM;15088235;Stadt Mücheln (Geiseltal);7770;4320;77;4243;1015;1881;661;123;91;77;131;7;189;13;52;3;84;4236;1073;1903;701;77;86;108;184;;;89;;15;
V;22.09.2013;19:02;1;1;GEM;15088250;Gemeinde Nemsdorf-Göhrendorf;758;415;3;412;126;175;52;18;7;4;12;0;15;2;1;0;3;412;123;180;57;11;8;12;11;;;8;;2;
V;22.09.2013;19:33;2;2;GEM;15088265;Gemeinde Obhausen;2026;1045;32;1013;284;434;153;30;16;19;30;0;37;2;8;0;33;1012;285;460;168;14;12;24;37;;;9;;3;
V;22.09.2013;21:37;13;13;GEM;15088295;Gemeinde Petersberg;8593;5825;101;5724;1230;2612;891;202;198;116;120;14;229;22;79;11;104;5721;1318;2600;948;133;139;105;110;8;203;72;;85;
V;22.09.2013;20:25;14;14;GEM;15088305;Stadt Querfurt;9859;4874;91;4783;1337;1887;760;165;103;99;132;7;214;14;56;9;98;4776;1380;1955;828;103;95;140;175;;;82;;18;
V;22.09.2013;22:01;11;11;GEM;15088319;Gemeinde Salzatal;10448;6148;87;6061;1383;2805;904;258;183;82;131;11;235;18;48;3;104;6044;1412;3014;977;118;162;101;160;;;68;;32;
V;22.09.2013;21:06;12;12;GEM;15088330;Gemeinde Schkopau;9434;5519;100;5419;1317;2327;843;171;152;103;136;5;258;23;78;6;113;5406;1411;2487;837;104;139;125;183;;;105;;15;
V;22.09.2013;19:33;1;1;GEM;15088340;Stadt Schraplau;1026;494;8;486;117;210;89;18;7;11;10;0;19;2;3;0;11;483;117;210;95;14;8;16;15;;;8;;0;
V;22.09.2013;19:33;2;2;GEM;15088355;Gemeinde Steigra;1050;630;14;616;149;280;84;22;17;9;19;0;24;0;12;0;15;615;145;299;97;8;15;15;23;;;12;;1;
V;22.09.2013;22:01;14;14;GEM;15088365;Gemeinde Teutschenthal;11985;6820;96;6724;1659;2868;1072;197;197;120;163;15;311;32;84;6;117;6703;1741;2991;1148;100;180;185;181;;;143;;34;
V;22.09.2013;20:00;3;3;GEM;15089005;Stadt Alsleben (Saale);2177;1040;13;1027;282;422;167;43;20;21;18;1;45;1;7;0;13;1027;286;449;179;15;12;15;15;1;38;17;;;
V;22.09.2013;20:39;24;24;GEM;15089015;Stadt Aschersleben;24268;11894;180;11714;3193;4592;2092;263;417;202;322;21;469;39;94;10;203;11691;3356;4867;2041;169;346;240;397;;;112;163;;
V;23.09.2013;0:18;13;13;GEM;15089026;Stadt Barby;7610;4188;126;4062;841;1879;789;119;102;71;74;5;132;9;33;8;138;4050;809;1763;1050;65;76;88;92;11;;47;49;;
V;22.09.2013;20:30;24;24;GEM;15089030;Stadt Bernburg (Saale);29502;15573;262;15311;4267;6153;2584;428;452;254;319;22;658;36;120;18;276;15297;5036;6180;2295;232;338;192;288;28;557;151;;;
V;22.09.2013;19:51;2;2;GEM;15089041;Gemeinde Bördeaue;1598;852;24;828;213;377;109;18;19;13;29;0;37;4;7;2;26;826;231;374;103;12;19;6;30;0;38;13;;;
V;23.09.2013;0:18;7;7;GEM;15089042;Gemeinde Bördeland;6639;3637;83;3554;825;1640;571;101;74;70;88;6;109;19;49;2;85;3552;826;1635;698;46;44;85;90;7;;72;49;;
V;22.09.2013;19:51;3;3;GEM;15089043;Gemeinde Börde-Hakel;2744;1404;26;1378;343;598;231;34;24;16;56;1;52;5;17;1;28;1376;376;594;222;25;16;13;54;4;39;33;;;
V;22.09.2013;20:10;1;1;GEM;15089045;Gemeinde Borne;1076;588;8;580;151;224;123;9;9;4;21;5;24;4;5;1;11;577;154;228;119;5;11;4;23;4;21;8;;;
V;23.09.2013;0:18;7;7;GEM;15089055;Stadt Calbe (Saale);8231;3914;79;3835;953;1566;766;87;86;75;84;7;149;14;38;10;98;3816;958;1532;906;51;63;72;89;9;;60;76;;
V;22.09.2013;20:20;3;3;GEM;15089075;Stadt Egeln;3026;1453;30;1423;348;647;222;28;42;24;40;1;60;3;8;0;37;1416;363;654;220;10;29;24;38;5;56;17;;;
V;22.09.2013;20:20;1;1;GEM;15089130;Gemeinde Giersleben;921;485;15;470;120;193;92;10;11;12;8;0;17;1;5;1;18;467;126;195;77;6;18;8;6;1;21;9;;;
V;22.09.2013;20:30;5;5;GEM;15089165;Stadt Güsten;3772;1899;41;1858;536;719;327;37;22;36;54;3;108;6;7;3;44;1855;583;699;330;32;15;29;53;3;91;20;;;
V;22.09.2013;20:10;5;5;GEM;15089175;Stadt Hecklingen;6182;2968;55;2913;688;1226;499;56;40;46;135;4;128;6;80;5;62;2906;793;1206;461;25;44;34;143;10;100;90;;;
V;22.09.2013;20:10;1;1;GEM;15089185;Gemeinde Ilberstedt;934;525;11;514;154;197;83;9;16;11;14;0;27;0;2;1;12;513;173;198;70;9;14;6;13;0;24;6;;;
V;22.09.2013;19:41;11;11;GEM;15089195;Stadt Könnern;7450;3709;69;3640;1024;1512;566;110;69;69;84;8;146;10;39;3;67;3642;1127;1523;546;69;48;48;87;8;132;54;;;
V;22.09.2013;19:51;10;10;GEM;15089235;Stadt Nienburg (Saale);5821;3167;76;3091;747;1335;554;82;66;48;93;3;120;8;32;3;76;3091;813;1334;534;56;50;48;93;5;127;31;;;
V;22.09.2013;19:21;3;3;GEM;15089245;Gemeinde Plötzkau;1133;666;15;651;207;246;91;22;18;13;17;2;27;1;6;1;16;650;227;245;96;11;9;15;17;2;19;9;;;
V;23.09.2013;0:18;23;23;GEM;15089305;Stadt Schönebeck (Elbe);27752;15097;274;14823;3584;6067;3051;348;407;248;280;23;631;44;118;22;322;14775;3759;5878;3568;218;286;317;312;35;;168;234;;
V;22.09.2013;22:29;6;6;GEM;15089307;Stadt Seeland;7281;3920;61;3859;1020;1659;606;96;114;69;102;4;124;21;41;3;80;3840;1029;1712;639;64;105;76;115;;;56;44;;
V;22.09.2013;21:20;22;22;GEM;15089310;Stadt Staßfurt;23872;11354;232;11122;3020;4571;1936;263;244;163;314;11;457;30;96;17;256;11098;3423;4395;1865;190;164;147;336;12;407;159;;;
V;22.09.2013;20:00;1;1;GEM;15089365;Gemeinde Wolmirsleben;1191;625;8;617;145;263;100;14;18;12;25;2;31;1;6;0;9;616;158;248;107;13;16;5;24;3;31;11;;;
V;22.09.2013;19:09;5;5;GEM;15090003;Gemeinde Aland;1212;717;8;709;175;325;96;13;27;15;20;1;20;7;9;1;9;708;207;330;91;11;20;23;21;;;5;;;
V;22.09.2013;19:09;7;7;GEM;15090007;Gemeinde Altmärkische Höhe;1694;1015;18;997;194;509;180;22;17;19;18;0;27;4;6;1;18;997;248;505;157;19;19;15;29;;;5;;;
V;22.09.2013;19:04;4;4;GEM;15090008;Gemeinde Altmärkische Wische;735;443;9;434;99;196;103;10;11;3;2;0;7;0;3;0;7;436;122;198;91;4;10;8;1;;;2;;;
V;22.09.2013;21:31;2;2;GEM;15090010;Stadt Arneburg;1397;827;31;796;204;331;152;18;18;9;19;1;33;3;8;0;29;798;239;325;151;12;14;21;25;;;11;;;
V;22.09.2013;20:11;22;22;GEM;15090070;Stadt Bismark (Altmark);7331;4174;53;4121;931;1810;802;88;122;96;116;4;116;8;26;2;63;4111;1147;1780;773;55;89;114;115;;;38;;;
V;22.09.2013;20:11;3;3;GEM;15090135;Gemeinde Eichstedt (Altmark);778;530;11;519;126;254;88;7;10;12;6;0;9;2;4;1;14;516;144;250;81;2;11;15;9;;;4;;;
V;22.09.2013;21:31;2;2;GEM;15090180;Gemeinde Goldbeck;1246;695;12;683;169;281;144;16;10;20;16;0;19;1;7;0;9;686;198;266;125;5;12;56;19;;;5;;;
V;22.09.2013;20:11;2;2;GEM;15090220;Gemeinde Hassel;807;536;12;524;111;239;102;6;14;8;8;1;29;3;3;0;11;525;147;247;83;6;14;10;13;;;5;;;
V;22.09.2013;19:33;9;9;GEM;15090225;Hansestadt Havelberg;5791;3052;37;3015;874;1142;590;56;80;51;73;2;114;8;19;6;34;3018;1011;1197;537;37;50;70;94;;;22;;;
V;22.09.2013;19:21;4;4;GEM;15090245;Gemeinde Hohenberg-Krusemark;1080;656;14;642;148;245;144;12;29;21;15;2;20;2;3;1;10;646;194;244;130;9;20;26;17;;;6;;;
V;22.09.2013;19:21;2;2;GEM;15090270;Gemeinde Iden;789;471;5;466;141;173;94;6;18;16;5;1;7;1;4;0;5;466;160;177;92;5;9;18;5;;;0;;;
V;22.09.2013;19:09;4;4;GEM;15090285;Gemeinde Kamern;1109;614;9;605;133;278;112;13;14;11;12;1;21;0;9;1;10;604;154;301;101;8;12;9;14;;;5;;;
V;22.09.2013;20:27;3;3;GEM;15090310;Gemeinde Klietz;1343;770;12;758;224;265;155;23;11;7;19;3;32;5;12;2;11;759;266;281;144;10;9;16;21;;;12;;;
V;22.09.2013;19:59;13;13;GEM;15090415;Hansestadt Osterburg (Altmark);9101;4783;83;4700;1234;1991;907;90;122;104;67;4;127;9;35;10;80;4703;1501;2077;746;46;102;124;67;;;40;;;
V;22.09.2013;19:21;2;2;GEM;15090435;Gemeinde Rochau;932;610;7;603;134;279;105;10;16;22;7;0;26;1;2;1;9;601;171;277;87;3;12;36;10;;;5;;;
V;22.09.2013;19:09;1;1;GEM;15090445;Stadt Sandau (Elbe);783;455;3;452;122;181;91;8;7;15;4;0;20;2;1;1;3;452;150;191;76;4;5;18;6;;;2;;;
V;22.09.2013;19:09;1;1;GEM;15090485;Gemeinde Schollene;1058;569;13;556;145;212;106;8;22;10;11;0;35;1;5;1;13;556;154;235;109;2;9;20;19;;;8;;;
V;22.09.2013;20:27;3;3;GEM;15090500;Gemeinde Schönhausen (Elbe);1898;1022;20;1002;224;417;200;30;16;14;49;1;38;1;10;2;17;1005;272;460;169;12;12;18;51;;;11;;;
V;22.09.2013;20:11;6;6;GEM;15090520;Hansestadt Seehausen (Altmark);4438;2336;33;2303;622;978;411;52;72;44;37;1;70;2;11;3;36;2300;761;977;383;21;55;55;34;;;14;;;
V;22.09.2013;20:48;38;38;GEM;15090535;Hansestadt Stendal;33556;16703;278;16425;4099;6705;3253;322;500;330;369;17;637;44;123;26;314;16389;5133;6657;2990;262;380;382;427;;;158;;;
V;22.09.2013;20:27;22;22;GEM;15090546;Stadt Tangerhütte;9606;5254;100;5154;1219;2307;924;96;108;81;169;6;191;12;36;5;105;5149;1401;2340;888;66;92;100;214;;;48;;;
V;22.09.2013;19:59;12;12;GEM;15090550;Stadt Tangermünde;9123;4845;85;4760;1199;1986;897;93;118;81;96;8;224;11;43;4;86;4759;1447;2052;840;71;87;108;107;;;47;;;
V;22.09.2013;20:11;2;2;GEM;15090610;Hansestadt Werben (Elbe);999;695;26;669;165;283;121;12;17;19;21;0;17;5;8;1;23;672;198;281;109;8;13;28;25;;;10;;;
V;22.09.2013;19:09;4;4;GEM;15090631;Gemeinde Wust-Fischbeck;1129;672;12;660;139;308;108;13;22;10;20;0;35;2;3;0;13;659;162;334;94;15;12;16;17;;;9;;;
V;22.09.2013;20:11;2;2;GEM;15090635;Gemeinde Zehrental;794;464;5;459;100;211;95;7;15;3;6;0;17;0;5;0;7;457;131;213;82;4;10;7;7;;;3;;;
V;22.09.2013;23:25;13;13;GEM;15091010;Stadt Annaburg;6122;3659;88;3571;849;1468;541;96;92;70;140;2;206;24;78;5;93;3566;850;1552;566;40;85;71;144;;165;93;;;
V;22.09.2013;23:25;13;13;GEM;15091020;Stadt Bad Schmiedeberg;7566;4906;73;4833;1022;2156;822;132;165;82;164;4;212;11;56;7;74;4832;977;2370;804;68;129;68;167;;185;64;;;
V;22.09.2013;23:25;24;24;GEM;15091060;Stadt Coswig (Anhalt);10851;7293;100;7193;1682;3010;1237;170;266;137;171;11;380;17;101;11;105;7188;1609;3137;1279;99;267;136;176;;365;120;;;
V;22.09.2013;23:25;12;12;GEM;15091110;Stadt Gräfenhainichen;10747;6910;102;6808;1755;2907;981;161;176;106;261;6;324;20;99;12;107;6803;1696;3132;880;190;151;99;252;;275;128;;;
V;22.09.2013;23:25;22;22;GEM;15091145;Stadt Jessen (Elster);12453;8080;118;7962;1927;3412;1328;187;237;156;212;6;367;18;100;12;126;7954;1877;3716;1248;100;210;140;216;;313;134;;;
V;22.09.2013;23:25;16;16;GEM;15091160;Stadt Kemberg;9137;6247;105;6142;1289;2939;959;151;162;89;156;4;294;14;75;10;94;6153;1221;3297;879;73;139;77;145;;224;98;;;
V;22.09.2013;23:25;1;1;GEM;15091230;Gemeinde Mühlanger;1167;818;15;803;195;353;127;20;28;12;20;1;37;2;8;0;13;805;188;380;123;7;27;13;21;;34;12;;;
V;22.09.2013;23:25;13;13;GEM;15091241;Stadt Oranienbaum-Wörlitz;7358;4867;100;4767;1061;2050;766;114;163;88;129;5;250;18;118;5;102;4765;961;2188;741;44;155;82;118;;251;225;;;
V;22.09.2013;23:25;52;52;GEM;15091375;Lutherstadt Wittenberg;41131;26151;339;25812;5681;11321;4557;601;903;445;537;16;1147;56;515;33;348;25803;5601;11829;4980;275;728;393;526;;912;559;;;
V;22.09.2013;23:25;13;13;GEM;15091391;Stadt Zahna-Elster;7104;5204;69;5135;1042;2442;820;147;147;91;105;9;193;12;124;3;68;5136;1076;2542;846;58;121;87;117;;162;127;;;
